Year,Month,Year-Month,Deposits_Projection
2023,January,2023-01,5907465
2023,February,2023-02,5971707
2023,March,2023-03,6061038
2023,April,2023-04,5127816
2023,May,2023-05,6223455
2023,June,2023-06,5052782
2023,July,2023-07,7597721
2023,August,2023-08,7293620
2023,September,2023-09,6138166
2023,October,2023-10,6936292
2023,November,2023-11,7252035
2023,December,2023-12,8282572
2024,January,2024-01,7088192
2024,February,2024-02,7089664
2024,March,2024-03,7848851
2024,April,2024-04,8050116
2024,May,2024-05,7988970
2024,June,2024-06,7941674
2024,July,2024-07,8853332
2024,August,2024-08,8930630
2024,September,2024-09,9485930
2024,October,2024-10,10867652
2024,November,2024-11,10007498
2024,December,2024-12,10855684
2025,January,2025-01,10063782
2025,February,2025-02,11137502
2025,March,2025-03,13130035
2025,April,2025-04,13772634
2025,May,2025-05,18479008
2025,June,2025-06,15032433
2025,July,2025-07,16416146
2025,August,2025-08,19181686
2025,September,2025-09,19160433
2025,October,2025-10,20001497
2025,November,2025-11,17883000
2025,December,2025-12,21908144
2026,January,2026-01,20518699
2026,February,2026-02,24518699
2026,March,2026-03,26149269
2026,April,2026-04,25388222
2026,May,2026-05,26915158
2026,June,2026-06,28409181
2026,July,2026-07,30119733
2026,August,2026-08,31028131
2026,September,2026-09,32517201
2026,October,2026-10,33277434
2026,November,2026-11,34560801
2026,December,2026-12,36129762
