Year,Month,Year-Month,GGR
2024,January,2024-01,1797870
2024,February,2024-02,2645246
2024,March,2024-03,2588064
2024,April,2024-04,1993229
2024,May,2024-05,2281899
2024,June,2024-06,1927305
2024,July,2024-07,2919139
2024,August,2024-08,2544671
2024,September,2024-09,2544671
2024,October,2024-10,3005861
2024,November,2024-11,3023303
2024,December,2024-12,2456479
2025,January,2025-01,3004685
2025,February,2025-02,-2223043
2025,March,2025-03,4004387
2025,April,2025-04,4067211
2025,May,2025-05,1912215
2025,June,2025-06,1902907
2025,July,2025-07,2578334
2025,August,2025-08,5739712
2025,September,2025-09,5371861
2025,October,2025-10,5772728
2025,November,2025-11,4742192
2025,December,2025-12,5062646
2026,January,2026-01,4353146
2026,February,2026-02,6208938
2026,March,2026-03,3112958
2026,April,2026-04,5689192
