Year,Month,Year-Month,FTDs
2024,January,2024-01,1318
2024,February,2024-02,1358
2024,March,2024-03,1623
2024,April,2024-04,1791
2024,May,2024-05,1911
2024,June,2024-06,1490
2024,July,2024-07,1325
2024,August,2024-08,1567
2024,September,2024-09,1480
2024,October,2024-10,1932
2024,November,2024-11,1590
2024,December,2024-12,1207
2025,January,2025-01,1183
2025,February,2025-02,1356
2025,March,2025-03,1269
2025,April,2025-04,1015
2025,May,2025-05,1082
2025,June,2025-06,904
2025,July,2025-07,1136
2025,August,2025-08,1277
2025,September,2025-09,1149
2025,October,2025-10,1303
2025,November,2025-11,1014
2025,December,2025-12,1303
2026,January,2026-01,1587
2026,February,2026-02,1334
2026,March,2026-03,2701
2026,April,2026-04,2486
